Species_name
Carex liparocarpos
Carex myosuroides
Carex nigra
Carex ornithopoda
Carex otrubae
Carex panicea
Carex paniculata
Carex paniculata lusitanica
Carex parviflora
Carex pendula
Carex pilulifera
Carex pulicaris
Carex punctata
Carex remota
Carex reuteriana reuteriana
Carex riparia
Carex rostrata
Carex sempervirens
Carex strigosa
Carex sylvatica
Carlina
Carlina acaulis
Carlina corymbosa
Carlina hispanica
Carlina vulgaris
Carpinus betulus
Carpobrotus
Carpobrotus acinaciformis
Carpobrotus chilensis
Carpobrotus edulis
Carthamus
Carthamus mitissimus
Carum
Carum carvi
Caryophyllaceae
Caryophyllales
Caryophylloideae
Castanea
Castanea sativa
Catalpa
Catalpa bignonioides
Catapodium marinum
Catapodium rigidum
Cenchrinae
Cenchrus clandestinus
Centaurea
Centaurea calcitrapa
Centaurea cyanus
Centaurea decipiens
Centaurea graminifolia
Centaurea jacea
Centaurea lagascana
Centaurea montana
Centaurea nervosa
Centaurea nigra
Centaurea nigra rivularis
Centaurea nigrescens
Centaurea phrygia
Centaurea scabiosa
Centaurea scabiosa cephalariifolia
Centaurea triumfettii
Centaureinae
Centaurium
Centaurium erythraea
Centaurium maritimum
Centaurium portense
Centaurium pulchellum
Centaurium somedanum
Centaurium tenuiflorum
Centranthus
Centranthus calcitrapae
Centranthus lecoqii
Centranthus ruber
Centrosema
Cephalanthera longifolia
Cephalanthera rubra
Cerastium
Cerastium alpinum
Cerastium arvense
Cerastium brachypetalum
Cerastium diffusum
Cerastium fontanum
Cerastium glomeratum
Cerastium holosteoides
Cerastium pumilum
Cerasus
Ceratocapnos claviculata
Ceratophyllum demersum
Cercis siliquastrum
Cestrum elegans
Cestrum fasciculatum
Chaenomeles
Chaenomeles speciosa
Chaenorhinum
Chaenorhinum origanifolium
Chaerophyllum
Chaerophyllum aureum
Chaerophyllum hirsutum
Chaerophyllum temulum
Chamaecyparis
Chamaecyparis lawsoniana
Chamaemelum
Chamaemelum nobile
Chamaenerion angustifolium
Chasmanthe floribunda
Chelidonium majus
Chenopodiastrum murale
Chenopodium
Chenopodium album
Chenopodium berlandieri
Chiliadenus glutinosus
Chlamydanthus
Chloridoideae
Chlorophytum comosum
Choisya ternata
Chondrilla juncea
Chrysojasminum fruticans
Chrysosplenium
Chrysosplenium oppositifolium
Cicendia filiformis
Cichorieae
Cichorioideae
Cichorium
Cichorium endivia
Cichorium intybus
Ciminalis
Circaea lutetiana
Cirsium
Cirsium arvense
Cirsium filipendulum
Cirsium palustre
Cirsium pannonicum
Cirsium rivulare
Cirsium vulgare
Cistaceae
Cistus
Cistus albidus
Cistus lasianthus
Cistus lasianthus alyssoides
Cistus populifolius
Cistus salviifolius
Citrus
Clematis
Clematis vitalba
Clinopodium
Clinopodium acinos
Clinopodium alpinum
Clinopodium menthifolium
Clinopodium menthifolium ascendens
Clinopodium nepeta
Clinopodium vulgare
Cochlearia
Cochlearia aestuaria
Cochlearia danica
Cochlearia pyrenaica
Coincya monensis
Colchicum
Colchicum autumnale
Colchicum montanum
Coleonema
Coleonema pulchellum
Coleostephus
Coleostephus myconis
Colocasia
Comarum palustre
Commelina communis
Commelinaceae
Conium maculatum
Conopodium majus
Conopodium pyrenaeum
Convallaria majalis
Convolvuleae
Convolvulus
Convolvulus arvensis
Convolvulus sabatius
Convolvulus tricolor
Conyza
Cordyline australis
Coreopsis lanceolata
Coriandrum sativum
Cormus domestica
Cornus
Cornus mas
Cornus sanguinea
Coronilla minima
Cortaderia selloana
Corydalis cava
Corylus
Corylus avellana
Corylus avellana avellana
