"Species_name","cleaned_name","tnrs_original_name","tnrs_matched_name","tnrs_accepted_name","tnrs_accepted_author","tnrs_family","tnrs_powo_uri","tnrs_taxonomic_status","tnrs_overall_score","tnrs_match_type"
"Lufula multiflora","Lufula multiflora","Lufula multiflora","Luzula multiflora","Luzula multiflora","(Ehrh.) Lej.","Juncaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:1159940-2","Accepted",0.9694502693699,"accepted_or_direct"
"Luzula multiflora","Luzula multiflora","Luzula multiflora","Luzula multiflora","Luzula multiflora","(Ehrh.) Lej.","Juncaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:1159940-2","Accepted",1,"accepted_or_direct"
"Luzula pediformis","Luzula pediformis","Luzula pediformis","Luzula pediformis","Luzula pediformis","(Chaix) DC.","Juncaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:443900-1","Accepted",1,"accepted_or_direct"
"Luzula sylvatica","Luzula sylvatica","Luzula sylvatica","Luzula sylvatica","Luzula sylvatica","(Huds.) Gaudin","Juncaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:20009373-1","Accepted",1,"accepted_or_direct"
"Luzula sylvatica subsp. henriquesii","Luzula sylvatica subsp. henriquesii","Luzula sylvatica subsp. henriquesii","Luzula sylvatica subsp. henriquesii","Luzula sylvatica subsp. henriquesii","(Degen) Pirajá","Juncaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:50896926-1","Accepted",1,"accepted_or_direct"
"Luzula sylvatica subsp. henriquessi","Luzula sylvatica subsp. henriquessi","Luzula sylvatica subsp. henriquessi","Luzula sylvatica subsp. henriquesii","Luzula sylvatica subsp. henriquesii","(Degen) Pirajá","Juncaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:50896926-1","Accepted",0.99125249213133,"accepted_or_direct"
"Lys maritima","Lys maritima","Lys maritima","[No match found]","","","","","",NA,"unresolved_no_match"
"Malus pumila","Malus pumila","Malus pumila","Malus pumila","Malus domestica","(Suckow) Borkh.","Rosaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:726372-1","Synonym",1,"synonym_to_accepted"
"Malus sylvestris","Malus sylvestris","Malus sylvestris","Malus sylvestris","Malus sylvestris","(L.) Mill.","Rosaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:726415-1","Accepted",1,"accepted_or_direct"
"Malva moschata","Malva moschata","Malva moschata","Malva moschata","Malva moschata","L.","Malvaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:561790-1","Accepted",1,"accepted_or_direct"
"Malva sylvestris","Malva sylvestris","Malva sylvestris","Malva sylvestris","Malva sylvestris","L.","Malvaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:561932-1","Accepted",1,"accepted_or_direct"
"Matricaria discoidea","Matricaria discoidea","Matricaria discoidea","Matricaria discoidea","Matricaria discoidea","DC.","Asteraceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:154716-2","Accepted",1,"accepted_or_direct"
"Me acuatica","Me acuatica","Me acuatica","[No match found]","","","","","",NA,"unresolved_no_match"
"Me ciliata","Me ciliata","Me ciliata","[No match found]","","","","","",NA,"unresolved_no_match"
"Me marina","Me marina","Me marina","[No match found]","","","","","",NA,"unresolved_no_match"
"Me uniflora","Me uniflora","Me uniflora","[No match found]","","","","","",NA,"unresolved_no_match"
"Medicago lupulina","Medicago lupulina","Medicago lupulina","Medicago lupulina","Medicago lupulina","L.","Fabaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:506268-1","Accepted",1,"accepted_or_direct"
"Medicago sativa","Medicago sativa","Medicago sativa","Medicago sativa","Medicago sativa","L.","Fabaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30234961-2","Accepted",1,"accepted_or_direct"
